sepal_length,sepal_width,petal_length,petal_width,species_pred,prob
5.5,2.5,4.0,1.3,versicolor,0.970059289513903
6.9,3.1,5.1,2.3,virginica,0.972283680649287
5.1,2.5,3.0,1.1,versicolor,0.9511325102277531
4.4,2.9,,0.2,setosa,0.6419144591589444
5.9,3.0,5.1,1.8,virginica,0.7957660969994564
5.5,3.5,1.3,0.2,setosa,0.9590040991089278
5.6,,3.6,1.3,versicolor,0.9368488925247505
6.5,3.0,5.2,2.0,virginica,0.9590704879944517
5.3,3.7,1.5,0.2,setosa,0.9638296895231034
5.1,3.4,1.5,,setosa,0.8161132477812659
6.1,2.8,4.0,1.3,versicolor,0.9795004867457109
5.5,2.4,3.7,1.0,versicolor,0.9795511112237917
7.7,3.0,6.1,2.3,virginica,0.9670154210687131
6.9,3.1,4.9,1.5,versicolor,0.7459414346337366
6.0,2.2,5.0,1.5,versicolor,0.575283412381457
